Nomination Number,URL,Congress,Name,Organization,Description,Role,District/Location,Date Received From President,Committee,Latest Action Date,Latest Action,Vote Margin,Record Vote Number,,Length of Confirmation Proceedings,President,Majority,Deliniation,In Favor,Against,Margin
PN1814,https://www.congress.gov/nomination/113th-congress/1814,113th Congress (2013-2014),Robert Lee Pitman,The Judiciary,"Robert Lee Pitman, of Texas, ", United States District Judge , Western District of Texas,6/26/2014,Judiciary,12/16/2014,Confirmed by the Senate by Voice Vote,,,,173,3. Obama,Democrat,,,,0
PN1813,https://www.congress.gov/nomination/113th-congress/1813,113th Congress (2013-2014),Amos L. Mazzant III,The Judiciary,"Amos L. Mazzant, III, of Texas, ", United States District Judge , Eastern District of Texas,6/26/2014,Judiciary,12/16/2014,Confirmed by the Senate by Voice Vote,,,,173,3. Obama,Democrat,,,,0
PN1812,https://www.congress.gov/nomination/113th-congress/1812,113th Congress (2013-2014),Madeline Cox Arleo,The Judiciary,"Madeline Cox Arleo, of New Jersey, ", United States District Judge , District of New Jersey,6/26/2014,Judiciary,11/20/2014,Confirmed by the Senate by Voice Vote,,,,147,3. Obama,Democrat,,,,0
PN1807,https://www.congress.gov/nomination/113th-congress/1807,113th Congress (2013-2014),Gregory N. Stivers,The Judiciary,"Gregory N. Stivers, of Kentucky, ", United States District Judge , Western District of Kentucky,6/19/2014,Judiciary,12/4/2014,Confirmed by the Senate by Voice Vote,,,,168,3. Obama,Democrat,,,,0
PN1805,https://www.congress.gov/nomination/113th-congress/1805,113th Congress (2013-2014),David J. Hale,The Judiciary,"David J. Hale, of Kentucky, ", United States District Judge , Western District of Kentucky,6/19/2014,Judiciary,12/3/2014,Confirmed by the Senate by Voice Vote,,,,167,3. Obama,Democrat,,,,0
PN1778,https://www.congress.gov/nomination/113th-congress/1778,113th Congress (2013-2014),Gerald J. Pappert,The Judiciary,"Gerald J. Pappert, of Pennsylvania, ", United States District Judge , Eastern District of Pennsylvania,6/16/2014,Judiciary,12/3/2014,Confirmed by the Senate by Voice Vote,,,,170,3. Obama,Democrat,,,,0
PN1777,https://www.congress.gov/nomination/113th-congress/1777,113th Congress (2013-2014),Joseph F. Leeson Jr.,The Judiciary,"Joseph F. Leeson, Jr., of Pennsylvania, ", United States District Judge , Eastern District of Pennsylvania,6/16/2014,Judiciary,12/4/2014,Confirmed by the Senate by Yea-Nay Vote, 76 - 16, Record Vote Number: 312,,171,3. Obama,Democrat,,76,16,60
PN1776,https://www.congress.gov/nomination/113th-congress/1776,113th Congress (2013-2014),Mark A. Kearney,The Judiciary,"Mark A. Kearney, of Pennsylvania, ", United States District Judge , Eastern District of Pennsylvania,6/16/2014,Judiciary,12/3/2014,Confirmed by the Senate by Voice Vote,,,,170,3. Obama,Democrat,,,,0
PN1775,https://www.congress.gov/nomination/113th-congress/1775,113th Congress (2013-2014),Victor Allen Bolden,The Judiciary,"Victor Allen Bolden, of Connecticut, ", United States District Judge , District of Connecticut,6/16/2014,Judiciary,11/20/2014,Confirmed by the Senate by Yea-Nay Vote, 49 - 46, Record Vote Number: 290,,157,3. Obama,Democrat,,49,46,3
PN1774,https://www.congress.gov/nomination/113th-congress/1774,113th Congress (2013-2014),Wendy Beetlestone,The Judiciary,"Wendy Beetlestone, of Pennsylvania, ", United States District Judge , Eastern District of Pennsylvania,6/16/2014,Judiciary,11/20/2014,Confirmed by the Senate by Voice Vote,,,,157,3. Obama,Democrat,,,,0
PN1717,https://www.congress.gov/nomination/113th-congress/1717,113th Congress (2013-2014),Geoffrey W. Crawford,The Judiciary,"Geoffrey W. Crawford, of Vermont, ", United States District Judge , District of Vermont,5/20/2014,Judiciary,6/24/2014,Confirmed by the Senate by Yea-Nay Vote, 95 - 0, Record Vote Number: 209,,35,3. Obama,Democrat,,95,0,95
PN1697,https://www.congress.gov/nomination/113th-congress/1697,113th Congress (2013-2014),Brenda K. Sannes,The Judiciary,"Brenda K. Sannes, of New York, ", United States District Judge , Northern District of New York,5/8/2014,Judiciary,11/20/2014,Confirmed by the Senate by Yea-Nay Vote, 96 - 0, Record Vote Number: 289,,196,3. Obama,Democrat,,96,0,96
PN1696,https://www.congress.gov/nomination/113th-congress/1696,113th Congress (2013-2014),Pamela Harris,The Judiciary,"Pamela Harris, of Maryland, ", United States Circuit Judge , Fourth Circuit,5/8/2014,Judiciary,7/28/2014,Confirmed by the Senate by Yea-Nay Vote, 50 - 43, Record Vote Number: 242,,81,3. Obama,Democrat,,50,43,7
PN1613,https://www.congress.gov/nomination/113th-congress/1613,113th Congress (2013-2014),Pamela Pepper,The Judiciary,"Pamela Pepper, of Wisconsin, ", United States District Judge , Eastern District of Wisconsin,5/1/2014,Judiciary,11/20/2014,Confirmed by the Senate by Yea-Nay Vote, 95 - 0, Record Vote Number: 288,,203,3. Obama,Democrat,,95,0,95
PN1565,https://www.congress.gov/nomination/113th-congress/1565,113th Congress (2013-2014),Lydia Kay Griggsby,The Judiciary,"Lydia Kay Griggsby, of Maryland, ", a Judge of the United States Court of Federal Claims for a term of fifteen years,,4/10/2014,Judiciary,12/4/2014,Confirmed by the Senate by Voice Vote,,,,238,3. Obama,Democrat,,,,0
PN1552,https://www.congress.gov/nomination/113th-congress/1552,113th Congress (2013-2014),Randolph D. Moss,The Judiciary,"Randolph D. Moss, of Maryland, ", United States District Judge , District of Columbia,4/3/2014,Judiciary,11/13/2014,Confirmed by the Senate by Yea-Nay Vote, 54 - 45, Record Vote Number: 273,,224,3. Obama,Democrat,,54,45,9
PN1551,https://www.congress.gov/nomination/113th-congress/1551,113th Congress (2013-2014),Andre Birotte Jr.,The Judiciary,"Andre Birotte, Jr., of California, ", United States District Judge , Central District of California,4/3/2014,Judiciary,7/22/2014,Confirmed by the Senate by Yea-Nay Vote, 100 - 0, Record Vote Number: 237,,110,3. Obama,Democrat,,100,0,100
PN1516,https://www.congress.gov/nomination/113th-congress/1516,113th Congress (2013-2014),John W. deGravelles,The Judiciary,"John W. deGravelles, of Louisiana, ", United States District Judge , Middle District of Louisiana,3/13/2014,Judiciary,7/22/2014,Confirmed by the Senate by Yea-Nay Vote, 100 - 0, Record Vote Number: 239,,131,3. Obama,Democrat,,100,0,100
PN1515,https://www.congress.gov/nomination/113th-congress/1515,113th Congress (2013-2014),Leslie Joyce Abrams,The Judiciary,"Leslie Joyce Abrams, of Georgia, ", United States District Judge , Middle District of Georgia,3/11/2014,Judiciary,11/18/2014,Confirmed by the Senate by Yea-Nay Vote, 100 - 0, Record Vote Number: 281,,252,3. Obama,Democrat,,100,0,100
PN1476,https://www.congress.gov/nomination/113th-congress/1476,113th Congress (2013-2014),Robin L. Rosenberg,The Judiciary,"Robin L. Rosenberg, of Florida, ", United States District Judge , Southern District of Florida,2/26/2014,Judiciary,7/22/2014,Confirmed by the Senate by Yea-Nay Vote, 100 - 0, Record Vote Number: 238,,146,3. Obama,Democrat,,100,0,100
PN1401,https://www.congress.gov/nomination/113th-congress/1401,113th Congress (2013-2014),Carlos Eduardo Mendoza,The Judiciary,"Carlos Eduardo Mendoza, of Florida, ", United States District Judge , Middle District of Florida,2/6/2014,Judiciary,6/24/2014,Confirmed by the Senate by Yea-Nay Vote, 94 - 0, Record Vote Number: 207,,138,3. Obama,Democrat,,94,0,94
PN1400,https://www.congress.gov/nomination/113th-congress/1400,113th Congress (2013-2014),Darrin P. Gayles,The Judiciary,"Darrin P. Gayles, of Florida, ", United States District Judge , Southern District of Florida,2/6/2014,Judiciary,6/17/2014,Confirmed by the Senate by Yea-Nay Vote, 98 - 0, Record Vote Number: 197,,131,3. Obama,Democrat,,98,0,98
PN1399,https://www.congress.gov/nomination/113th-congress/1399,113th Congress (2013-2014),Paul G. Byron,The Judiciary,"Paul G. Byron, of Florida, ", United States District Judge , Middle District of Florida,2/6/2014,Judiciary,6/24/2014,Confirmed by the Senate by Yea-Nay Vote, 94 - 0, Record Vote Number: 206,,138,3. Obama,Democrat,,94,0,94
PN1398,https://www.congress.gov/nomination/113th-congress/1398,113th Congress (2013-2014),Beth Bloom,The Judiciary,"Beth Bloom, of Florida, ", United States District Judge , Southern District of Florida,2/6/2014,Judiciary,6/24/2014,Confirmed by the Senate by Yea-Nay Vote, 95 - 0, Record Vote Number: 208,,138,3. Obama,Democrat,,95,0,95
PN1397,https://www.congress.gov/nomination/113th-congress/1397,113th Congress (2013-2014),Cheryl Ann Krause,The Judiciary,"Cheryl Ann Krause, of New Jersey, ", United States Circuit Judge , Third Circuit,2/6/2014,Judiciary,7/7/2014,Confirmed by the Senate by Yea-Nay Vote, 93 - 0, Record Vote Number: 217,,151,3. Obama,Democrat,,93,0,93
PN1348,https://www.congress.gov/nomination/113th-congress/1348,113th Congress (2013-2014),Staci Michelle Yandle,The Judiciary,"Staci Michelle Yandle, of Illinois, ", United States District Judge , Southern District of Illinois,1/16/2014,Judiciary,6/17/2014,Confirmed by the Senate by Yea-Nay Vote, 52 - 44, Record Vote Number: 196,,152,3. Obama,Democrat,,52,44,8
PN1347,https://www.congress.gov/nomination/113th-congress/1347,113th Congress (2013-2014),Salvador Mendoza Jr.,The Judiciary,"Salvador Mendoza, Jr., of Washington, ", United States District Judge , Eastern District of Washington,1/16/2014,Judiciary,6/17/2014,Confirmed by the Senate by Yea-Nay Vote, 92 - 4, Record Vote Number: 195,,152,3. Obama,Democrat,,92,4,88
PN1346,https://www.congress.gov/nomination/113th-congress/1346,113th Congress (2013-2014),Richard Franklin Boulware II,The Judiciary,"Richard Franklin Boulware II, of Nevada, ", United States District Judge , District of Nevada,1/16/2014,Judiciary,6/10/2014,Confirmed by the Senate by Yea-Nay Vote, 58 - 35, Record Vote Number: 181,,145,3. Obama,Democrat,,58,35,23
PN1345,https://www.congress.gov/nomination/113th-congress/1345,113th Congress (2013-2014),Stephen R. Bough,The Judiciary,"Stephen R. Bough, of Missouri, ", United States District Judge , Western District of Missouri,1/16/2014,Judiciary,12/16/2014,Confirmed by the Senate by Yea-Nay Vote, 51 - 38, Record Vote Number: 366,,334,3. Obama,Democrat,,51,38,13
PN1233,https://www.congress.gov/nomination/113th-congress/1233,113th Congress (2013-2014),James Alan Soto,The Judiciary,"James Alan Soto, of Arizona, ", United States District Judge , District of Arizona,1/6/2014,Judiciary,5/15/2014,Confirmed by the Senate by Yea-Nay Vote, 93 - 1, Record Vote Number: 155,,129,3. Obama,Democrat,,93,1,92
PN1232,https://www.congress.gov/nomination/113th-congress/1232,113th Congress (2013-2014),Leo T. Sorokin,The Judiciary,"Leo T. Sorokin, of Massachusetts, ", United States District Judge , District of Massachusetts,1/6/2014,Judiciary,6/10/2014,Confirmed by the Senate by Yea-Nay Vote, 91 - 0, Record Vote Number: 180,,155,3. Obama,Democrat,,91,0,91
PN1231,https://www.congress.gov/nomination/113th-congress/1231,113th Congress (2013-2014),Eleanor Louise Ross,The Judiciary,"Eleanor Louise Ross, of Georgia, ", United States District Judge , Northern District of Georgia,1/6/2014,Judiciary,11/18/2014,Confirmed by the Senate by Voice Vote,,,,316,3. Obama,Democrat,,,,0
PN1230,https://www.congress.gov/nomination/113th-congress/1230,113th Congress (2013-2014),Leigh Martin May,The Judiciary,"Leigh Martin May, of Georgia, ", United States District Judge , Northern District of Georgia,1/6/2014,Judiciary,11/13/2014,Confirmed by the Senate by Yea-Nay Vote, 99 - 0, Record Vote Number: 274,,311,3. Obama,Democrat,,99,0,99
PN1229,https://www.congress.gov/nomination/113th-congress/1229,113th Congress (2013-2014),M. Hannah Lauck,The Judiciary,"M. Hannah Lauck, of Virginia, ", United States District Judge , Eastern District of Virginia,1/6/2014,Judiciary,6/10/2014,Confirmed by the Senate by Yea-Nay Vote, 90 - 0, Record Vote Number: 179,,155,3. Obama,Democrat,,90,0,90
PN1228,https://www.congress.gov/nomination/113th-congress/1228,113th Congress (2013-2014),Mark Howard Cohen,The Judiciary,"Mark Howard Cohen, of Georgia, ", United States District Judge , Northern District of Georgia,1/6/2014,Judiciary,11/18/2014,Confirmed by the Senate by Voice Vote,,,,316,3. Obama,Democrat,,,,0
PN1227,https://www.congress.gov/nomination/113th-congress/1227,113th Congress (2013-2014),Tanya S. Chutkan,The Judiciary,"Tanya S. Chutkan, of the District of Columbia, ", United States District Judge , District of Columbia,1/6/2014,Judiciary,6/4/2014,Confirmed by the Senate by Yea-Nay Vote, 95 - 0, Record Vote Number: 173,,149,3. Obama,Democrat,,95,0,95
PN1225,https://www.congress.gov/nomination/113th-congress/1225,113th Congress (2013-2014),Ronnie L. White,The Judiciary,"Ronnie L. White, of Missouri, ", United States District Judge , Eastern District of Missouri,1/6/2014,Judiciary,7/16/2014,Confirmed by the Senate by Yea-Nay Vote, 53 - 44, Record Vote Number: 227,,191,3. Obama,Democrat,,53,44,9
PN1224,https://www.congress.gov/nomination/113th-congress/1224,113th Congress (2013-2014),Nancy J. Rosenstengel,The Judiciary,"Nancy J. Rosenstengel, of Illinois, ", United States District Judge , Southern District of Illinois,1/6/2014,Judiciary,5/8/2014,Confirmed by the Senate by Yea-Nay Vote, 95 - 0, Record Vote Number: 139,,122,3. Obama,Democrat,,95,0,95
PN1223,https://www.congress.gov/nomination/113th-congress/1223,113th Congress (2013-2014),James D. Peterson,The Judiciary,"James D. Peterson, of Wisconsin, ", United States District Judge , Western District of Wisconsin,1/6/2014,Judiciary,5/8/2014,Confirmed by the Senate by Yea-Nay Vote, 70 - 24, Record Vote Number: 138,,122,3. Obama,Democrat,,70,24,46
PN1222,https://www.congress.gov/nomination/113th-congress/1222,113th Congress (2013-2014),George Jarrod Hazel,The Judiciary,"George Jarrod Hazel, of Maryland, ", United States District Judge , District of Maryland,1/6/2014,Judiciary,5/1/2014,Confirmed by the Senate by Yea-Nay Vote, 95 - 0, Record Vote Number: 128,,115,3. Obama,Democrat,,95,0,95
PN1221,https://www.congress.gov/nomination/113th-congress/1221,113th Congress (2013-2014),Theodore David Chuang,The Judiciary,"Theodore David Chuang, of Maryland, ", United States District Judge , District of Maryland,1/6/2014,Judiciary,5/1/2014,Confirmed by the Senate by Yea-Nay Vote, 53 - 42, Record Vote Number: 127,,115,3. Obama,Democrat,,53,42,11
PN1220,https://www.congress.gov/nomination/113th-congress/1220,113th Congress (2013-2014),Indira Talwani,The Judiciary,"Indira Talwani, of Massachusetts, ", United States District Judge , District of Massachusetts,1/6/2014,Judiciary,5/8/2014,Confirmed by the Senate by Yea-Nay Vote, 94 - 0, Record Vote Number: 137,,122,3. Obama,Democrat,,94,0,94
PN1219,https://www.congress.gov/nomination/113th-congress/1219,113th Congress (2013-2014),Mark G. Mastroianni,The Judiciary,"Mark G. Mastroianni, of Massachusetts, ", United States District Judge , District of Massachusetts,1/6/2014,Judiciary,6/4/2014,Confirmed by the Senate by Yea-Nay Vote, 92 - 2, Record Vote Number: 171,,149,3. Obama,Democrat,,92,2,90
PN1218,https://www.congress.gov/nomination/113th-congress/1218,113th Congress (2013-2014),John Joseph Tuchi,The Judiciary,"John Joseph Tuchi, of Arizona, ", United States District Judge , District of Arizona,1/6/2014,Judiciary,5/14/2014,Confirmed by the Senate by Yea-Nay Vote, 96 - 0, Record Vote Number: 148,,128,3. Obama,Democrat,,96,0,96
PN1217,https://www.congress.gov/nomination/113th-congress/1217,113th Congress (2013-2014),Manish S. Shah,The Judiciary,"Manish S. Shah, of Illinois, ", United States District Judge , Northern District of Illinois,1/6/2014,Judiciary,4/30/2014,Confirmed by the Senate by Yea-Nay Vote, 95 - 0, Record Vote Number: 120,,114,3. Obama,Democrat,,95,0,95
PN1216,https://www.congress.gov/nomination/113th-congress/1216,113th Congress (2013-2014),Douglas L. Rayes,The Judiciary,"Douglas L. Rayes, of Arizona, ", United States District Judge , District of Arizona,1/6/2014,Judiciary,5/15/2014,Confirmed by the Senate by Yea-Nay Vote, 77 - 19, Record Vote Number: 154,,129,3. Obama,Democrat,,77,19,58
PN1215,https://www.congress.gov/nomination/113th-congress/1215,113th Congress (2013-2014),Steven Paul Logan,The Judiciary,"Steven Paul Logan, of Arizona, ", United States District Judge , District of Arizona,1/6/2014,Judiciary,5/14/2014,Confirmed by the Senate by Yea-Nay Vote, 96 - 0, Record Vote Number: 147,,128,3. Obama,Democrat,,96,0,96
PN1214,https://www.congress.gov/nomination/113th-congress/1214,113th Congress (2013-2014),Jon David Levy,The Judiciary,"Jon David Levy, of Maine, ", United States District Judge , District of Maine,1/6/2014,Judiciary,4/30/2014,Confirmed by the Senate by Yea-Nay Vote, 75 - 20, Record Vote Number: 123,,114,3. Obama,Democrat,,75,20,55
PN1213,https://www.congress.gov/nomination/113th-congress/1213,113th Congress (2013-2014),Diane J. Humetewa,The Judiciary,"Diane J. Humetewa, of Arizona, ", United States District Judge , District of Arizona,1/6/2014,Judiciary,5/14/2014,Confirmed by the Senate by Yea-Nay Vote, 96 - 0, Record Vote Number: 149,,128,3. Obama,Democrat,,96,0,96
PN1212,https://www.congress.gov/nomination/113th-congress/1212,113th Congress (2013-2014),Stanley Allen Bastian,The Judiciary,"Stanley Allen Bastian, of Washington, ", United States District Judge , Eastern District of Washington,1/6/2014,Judiciary,4/30/2014,Confirmed by the Senate by Yea-Nay Vote, 95 - 0, Record Vote Number: 119,,114,3. Obama,Democrat,,95,0,95
PN1211,https://www.congress.gov/nomination/113th-congress/1211,113th Congress (2013-2014),Cynthia Ann Bashant,The Judiciary,"Cynthia Ann Bashant, of California, ", United States District Judge , Southern District of California,1/6/2014,Judiciary,4/30/2014,Confirmed by the Senate by Yea-Nay Vote, 94 - 0, Record Vote Number: 122,,114,3. Obama,Democrat,,94,0,94
PN1210,https://www.congress.gov/nomination/113th-congress/1210,113th Congress (2013-2014),Edward G. Smith,The Judiciary,"Edward G. Smith, of Pennsylvania, ", United States District Judge , Eastern District of Pennsylvania,1/6/2014,Judiciary,3/26/2014,Confirmed by the Senate by Yea-Nay Vote, 69 - 31, Record Vote Number: 87,,79,3. Obama,Democrat,,69,31,38
PN1209,https://www.congress.gov/nomination/113th-congress/1209,113th Congress (2013-2014),Gerald Austin McHugh Jr.,The Judiciary,"Gerald Austin McHugh, Jr., of Pennsylvania, ", United States District Judge , Eastern District of Pennsylvania,1/6/2014,Judiciary,3/26/2014,Confirmed by the Senate by Yea-Nay Vote, 59 - 41, Record Vote Number: 86,,79,3. Obama,Democrat,,59,41,18
PN1208,https://www.congress.gov/nomination/113th-congress/1208,113th Congress (2013-2014),Sheryl H. Lipman,The Judiciary,"Sheryl H. Lipman, of Tennessee, ", United States District Judge , Western District of Tennessee,1/6/2014,Judiciary,4/30/2014,Confirmed by the Senate by Yea-Nay Vote, 95 - 0, Record Vote Number: 118,,114,3. Obama,Democrat,,95,0,95
PN1207,https://www.congress.gov/nomination/113th-congress/1207,113th Congress (2013-2014),M. Douglas Harpool,The Judiciary,"M. Douglas Harpool, of Missouri, ", United States District Judge , Western District of Missouri,1/6/2014,Judiciary,3/26/2014,Confirmed by the Senate by Yea-Nay Vote, 93 - 5, Record Vote Number: 85,,79,3. Obama,Democrat,,93,5,88
PN1206,https://www.congress.gov/nomination/113th-congress/1206,113th Congress (2013-2014),Daniel D. Crabtree,The Judiciary,"Daniel D. Crabtree, of Kansas, ", United States District Judge , District of Kansas,1/6/2014,Judiciary,4/30/2014,Confirmed by the Senate by Yea-Nay Vote, 94 - 0, Record Vote Number: 121,,114,3. Obama,Democrat,,94,0,94
PN1205,https://www.congress.gov/nomination/113th-congress/1205,113th Congress (2013-2014),Christopher Reid Cooper,The Judiciary,"Christopher Reid Cooper, of the District of Columbia, ", United States District Judge , District of Columbia,1/6/2014,Judiciary,3/26/2014,Confirmed by the Senate by Yea-Nay Vote, 100 - 0, Record Vote Number: 84,,79,3. Obama,Democrat,,100,0,100
PN1204,https://www.congress.gov/nomination/113th-congress/1204,113th Congress (2013-2014),Linda Vivienne Parker,The Judiciary,"Linda Vivienne Parker, of Michigan, ", United States District Judge , Eastern District of Michigan,1/6/2014,Judiciary,3/12/2014,Confirmed by the Senate by Yea-Nay Vote, 60 - 37, Record Vote Number: 71,,65,3. Obama,Democrat,,60,37,23
PN1203,https://www.congress.gov/nomination/113th-congress/1203,113th Congress (2013-2014),James Maxwell Moody Jr.,The Judiciary,"James Maxwell Moody, Jr., of Arkansas, ", United States District Judge , Eastern District of Arkansas,1/6/2014,Judiciary,2/25/2014,Confirmed by the Senate by Yea-Nay Vote, 95 - 4, Record Vote Number: 39,,50,3. Obama,Democrat,,95,4,91
PN1202,https://www.congress.gov/nomination/113th-congress/1202,113th Congress (2013-2014),Laurie J. Michelson,The Judiciary,"Laurie J. Michelson, of Michigan, ", United States District Judge , Eastern District of Michigan,1/6/2014,Judiciary,3/12/2014,Confirmed by the Senate by Yea-Nay Vote, 98 - 0, Record Vote Number: 70,,65,3. Obama,Democrat,,98,0,98
PN1201,https://www.congress.gov/nomination/113th-congress/1201,113th Congress (2013-2014),Judith Ellen Levy,The Judiciary,"Judith Ellen Levy, of Michigan, ", United States District Judge , Eastern District of Michigan,1/6/2014,Judiciary,3/12/2014,Confirmed by the Senate by Yea-Nay Vote, 97 - 0, Record Vote Number: 69,,65,3. Obama,Democrat,,97,0,97
PN1200,https://www.congress.gov/nomination/113th-congress/1200,113th Congress (2013-2014),Matthew Frederick Leitman,The Judiciary,"Matthew Frederick Leitman, of Michigan, ", United States District Judge , Eastern District of Michigan,1/6/2014,Judiciary,3/12/2014,Confirmed by the Senate by Yea-Nay Vote, 98 - 0, Record Vote Number: 68,,65,3. Obama,Democrat,,98,0,98
PN1199,https://www.congress.gov/nomination/113th-congress/1199,113th Congress (2013-2014),Vince Girdhari Chhabria,The Judiciary,"Vince Girdhari Chhabria, of California, ", United States District Judge , Northern District of California,1/6/2014,Judiciary,3/5/2014,Confirmed by the Senate by Yea-Nay Vote, 58 - 41, Record Vote Number: 56,,58,3. Obama,Democrat,,58,41,17
PN1198,https://www.congress.gov/nomination/113th-congress/1198,113th Congress (2013-2014),Alison Renee Lee,The Judiciary,"Alison Renee Lee, of South Carolina, ", United States District Judge , District of South Carolina,1/6/2014,Judiciary,9/18/2014,Received message of withdrawal of nomination from the President,,,,255,3. Obama,Democrat,,,,0
PN1197,https://www.congress.gov/nomination/113th-congress/1197,113th Congress (2013-2014),Bruce Howe Hendricks,The Judiciary,"Bruce Howe Hendricks, of South Carolina, ", United States District Judge , District of South Carolina,1/6/2014,Judiciary,6/4/2014,Confirmed by the Senate by Yea-Nay Vote, 95 - 0, Record Vote Number: 172,,149,3. Obama,Democrat,,95,0,95
PN1196,https://www.congress.gov/nomination/113th-congress/1196,113th Congress (2013-2014),Pedro A. Delgado Hernandez,The Judiciary,"Pedro A. Delgado Hernandez, of Puerto Rico, ", United States District Judge , District of Puerto Rico,1/6/2014,Judiciary,3/5/2014,Confirmed by the Senate by Yea-Nay Vote, 98 - 0, Record Vote Number: 50,,58,3. Obama,Democrat,,98,0,98
PN1194,https://www.congress.gov/nomination/113th-congress/1194,113th Congress (2013-2014),Beth Labson Freeman,The Judiciary,"Beth Labson Freeman, of California, ", United States District Judge , Northern District of California,1/6/2014,Judiciary,2/25/2014,Confirmed by the Senate by Yea-Nay Vote, 91 - 7, Record Vote Number: 43,,50,3. Obama,Democrat,,91,7,84
PN1193,https://www.congress.gov/nomination/113th-congress/1193,113th Congress (2013-2014),James Donato,The Judiciary,"James Donato, of California, ", United States District Judge , Northern District of California,1/6/2014,Judiciary,2/25/2014,Confirmed by the Senate by Yea-Nay Vote, 90 - 5, Record Vote Number: 41,,50,3. Obama,Democrat,,90,5,85
PN1192,https://www.congress.gov/nomination/113th-congress/1192,113th Congress (2013-2014),Jeffrey Alker Meyer,The Judiciary,"Jeffrey Alker Meyer, of Connecticut, ", United States District Judge , District of Connecticut,1/6/2014,Judiciary,2/24/2014,Confirmed by the Senate by Yea-Nay Vote, 91 - 2, Record Vote Number: 37,,49,3. Obama,Democrat,,91,2,89
PN1191,https://www.congress.gov/nomination/113th-congress/1191,113th Congress (2013-2014),Timothy L. Brooks,The Judiciary,"Timothy L. Brooks, of Arkansas, ", United States District Judge , Western District of Arkansas,1/6/2014,Judiciary,3/5/2014,Confirmed by the Senate by Yea-Nay Vote, 100 - 0, Record Vote Number: 54,,58,3. Obama,Democrat,,100,0,100
PN1190,https://www.congress.gov/nomination/113th-congress/1190,113th Congress (2013-2014),Pamela L. Reeves,The Judiciary,"Pamela L. Reeves, of Tennessee, ", United States District Judge , Eastern District of Tennessee,1/6/2014,Judiciary,3/5/2014,Confirmed by the Senate by Yea-Nay Vote, 99 - 0, Record Vote Number: 52,,58,3. Obama,Democrat,,99,0,99
PN1189,https://www.congress.gov/nomination/113th-congress/1189,113th Congress (2013-2014),Rosemary Marquez,The Judiciary,"Rosemary Marquez, of Arizona, ", United States District Judge , District of Arizona,1/6/2014,Judiciary,5/15/2014,Confirmed by the Senate by Yea-Nay Vote, 81 - 15, Record Vote Number: 153,,129,3. Obama,Democrat,,81,15,66
PN1188,https://www.congress.gov/nomination/113th-congress/1188,113th Congress (2013-2014),Gregg Jeffrey Costa,The Judiciary,"Gregg Jeffrey Costa, of Texas, ", United States Circuit Judge , Fifth Circuit,1/6/2014,Judiciary,5/20/2014,Confirmed by the Senate by Yea-Nay Vote, 97 - 0, Record Vote Number: 158,,134,3. Obama,Democrat,,97,0,97
PN1187,https://www.congress.gov/nomination/113th-congress/1187,113th Congress (2013-2014),Julie E. Carnes,The Judiciary,"Julie E. Carnes, of Georgia, ", United States Circuit Judge , Eleventh Circuit,1/6/2014,Judiciary,7/21/2014,Confirmed by the Senate by Yea-Nay Vote, 94 - 0, Record Vote Number: 233,,196,3. Obama,Democrat,,94,0,94
PN1186,https://www.congress.gov/nomination/113th-congress/1186,113th Congress (2013-2014),Robin S. Rosenbaum,The Judiciary,"Robin S. Rosenbaum, of Florida, ", United States Circuit Judge , Eleventh Circuit,1/6/2014,Judiciary,5/12/2014,Confirmed by the Senate by Yea-Nay Vote, 91 - 0, Record Vote Number: 141,,126,3. Obama,Democrat,,91,0,91
PN1185,https://www.congress.gov/nomination/113th-congress/1185,113th Congress (2013-2014),David Jeremiah Barron,The Judiciary,"David Jeremiah Barron, of Massachusetts, ", United States Circuit Judge , First Circuit,1/6/2014,Judiciary,5/22/2014,Confirmed by the Senate by Yea-Nay Vote, 53 - 45, Record Vote Number: 162,,136,3. Obama,Democrat,,53,45,8
PN1184,https://www.congress.gov/nomination/113th-congress/1184,113th Congress (2013-2014),John B. Owens,The Judiciary,"John B. Owens, of California, ", United States Circuit Judge , Ninth Circuit,1/6/2014,Judiciary,3/31/2014,Confirmed by the Senate by Yea-Nay Vote, 56 - 43, Record Vote Number: 91,,84,3. Obama,Democrat,,56,43,13
PN1183,https://www.congress.gov/nomination/113th-congress/1183,113th Congress (2013-2014),Nancy L. Moritz,The Judiciary,"Nancy L. Moritz, of Kansas, ", United States Circuit Judge , Tenth Circuit,1/6/2014,Judiciary,5/5/2014,Confirmed by the Senate by Yea-Nay Vote, 90 - 3, Record Vote Number: 130,,119,3. Obama,Democrat,,90,3,87
PN1182,https://www.congress.gov/nomination/113th-congress/1182,113th Congress (2013-2014),Michelle T. Friedland,The Judiciary,"Michelle T. Friedland, of California, ", United States Circuit Judge , Ninth Circuit,1/6/2014,Judiciary,4/28/2014,Confirmed by the Senate by Yea-Nay Vote, 51 - 40, Record Vote Number: 108,,112,3. Obama,Democrat,,51,40,11
PN1181,https://www.congress.gov/nomination/113th-congress/1181,113th Congress (2013-2014),Carolyn B. McHugh,The Judiciary,"Carolyn B. McHugh, of Utah, ", United States Circuit Judge , Tenth Circuit,1/6/2014,Judiciary,3/12/2014,Confirmed by the Senate by Yea-Nay Vote, 98 - 0, Record Vote Number: 67,,65,3. Obama,Democrat,,98,0,98
