Nomination Number,URL,Congress,Name,Organization,Description,Role,District/Location,Date Received From President,Committee,Latest Action Date,Latest Action,Vote Margin,Record Vote Number,,Length of Confirmation Proceedings,President,Majority,Deliniation,In Favor,Against,Margin
PN1438,https://www.congress.gov/nomination/116th-congress/1438,116th Congress (2019-2020),Anna M. Manasco,The Judiciary,"Anna M. Manasco, of Alabama, ", United States District Judge , Northern District of Alabama,2/4/2020,Judiciary,5/20/2020,Confirmed by the Senate by Yea-Nay Vote, 71 - 21, Record Vote Number: 99,,106,4. Trump,Republican,,71,21,50
PN1431,https://www.congress.gov/nomination/116th-congress/1431,116th Congress (2019-2020),Thomas T. Cullen,The Judiciary,"Thomas T. Cullen, of Virginia, ", United States District Judge , Western District of Virginia,2/4/2020,Judiciary,9/10/2020,Confirmed by the Senate by Yea-Nay Vote, 79 - 19, Record Vote Number: 166,,219,4. Trump,Republican,,79,19,60
PN1430,https://www.congress.gov/nomination/116th-congress/1430,116th Congress (2019-2020),John Leonard Badalamenti,The Judiciary,"John Leonard Badalamenti, of Florida, ", United States District Judge , Middle District of Florida,2/4/2020,Judiciary,6/1/2020,Confirmed by the Senate by Yea-Nay Vote, 55 - 22, Record Vote Number: 103,,118,4. Trump,Republican,,55,22,33
PN1383,https://www.congress.gov/nomination/116th-congress/1383,116th Congress (2019-2020),Mark C. Scarsi,The Judiciary,"Mark C. Scarsi, of California, ", United States District Judge , Central District of California,1/9/2020,Judiciary,9/15/2020,Confirmed by the Senate by Yea-Nay Vote, 83 - 12, Record Vote Number: 170,,250,4. Trump,Republican,,83,12,71
PN1381,https://www.congress.gov/nomination/116th-congress/1381,116th Congress (2019-2020),Stanley Blumenfeld,The Judiciary,"Stanley Blumenfeld, of California, ", United States District Judge , Central District of California,1/9/2020,Judiciary,9/15/2020,Confirmed by the Senate by Yea-Nay Vote, 92 - 4, Record Vote Number: 172,,250,4. Trump,Republican,,92,4,88
PN1349,https://www.congress.gov/nomination/116th-congress/1349,116th Congress (2019-2020),Cory T. Wilson,The Judiciary,"Cory T. Wilson, of Mississippi, ", United States District Judge , Southern District of Mississippi,1/6/2020,Judiciary,5/4/2020,Received message of withdrawal of nomination from the President,,,,119,4. Trump,Republican,,,,0
PN1348,https://www.congress.gov/nomination/116th-congress/1348,116th Congress (2019-2020),Edward Hulvey Meyers,The Judiciary,"Edward Hulvey Meyers, of Maryland, ", a Judge of the United States Court of Federal Claims for a term of fifteen years,,1/6/2020,Judiciary,9/22/2020,Confirmed by the Senate by Yea-Nay Vote, 66 - 27, Record Vote Number: 185,,260,4. Trump,Republican,,66,27,39
PN1347,https://www.congress.gov/nomination/116th-congress/1347,116th Congress (2019-2020),David Cleveland Joseph,The Judiciary,"David Cleveland Joseph, of Louisiana, ", United States District Judge , Western District of Louisiana,1/6/2020,Judiciary,7/28/2020,Confirmed by the Senate by Yea-Nay Vote, 55 - 42, Record Vote Number: 145,,204,4. Trump,Republican,,55,42,13
PN1346,https://www.congress.gov/nomination/116th-congress/1346,116th Congress (2019-2020),John F. Heil III,The Judiciary,"John F. Heil III, of Oklahoma, ", United States District Judge , Northern,1/6/2020,Judiciary,5/20/2020,Confirmed by the Senate by Yea-Nay Vote, 75 - 17, Record Vote Number: 100,,135,4. Trump,Republican,,75,17,58
PN1345,https://www.congress.gov/nomination/116th-congress/1345,116th Congress (2019-2020),William Scott Hardy,The Judiciary,"William Scott Hardy, of Pennsylvania, ", United States District Judge , Western District of Pennsylvania,1/6/2020,Judiciary,7/27/2020,Confirmed by the Senate by Yea-Nay Vote, 65 - 30, Record Vote Number: 142,,203,4. Trump,Republican,,65,30,35
PN1327,https://www.congress.gov/nomination/116th-congress/1327,116th Congress (2019-2020),Matthew Thomas Schelp,The Judiciary,"Matthew Thomas Schelp, of Missouri, ", United States District Judge , Eastern District of Missouri,1/3/2020,Judiciary,2/12/2020,Confirmed by the Senate by Yea-Nay Vote, 72 - 23, Record Vote Number: 42,,40,4. Trump,Republican,,72,23,49
PN1326,https://www.congress.gov/nomination/116th-congress/1326,116th Congress (2019-2020),Joshua M. Kindred,The Judiciary,"Joshua M. Kindred, of Alaska, ", United States District Judge , District of Alaska,1/3/2020,Judiciary,2/12/2020,Confirmed by the Senate by Yea-Nay Vote, 54 - 41, Record Vote Number: 41,,40,4. Trump,Republican,,54,41,13
PN1325,https://www.congress.gov/nomination/116th-congress/1325,116th Congress (2019-2020),Andrew Lynn Brasher,The Judiciary,"Andrew Lynn Brasher, of Alabama, ", United States Circuit Judge , Eleventh Circuit,1/3/2020,Judiciary,2/11/2020,Confirmed by the Senate by Yea-Nay Vote, 52 - 43, Record Vote Number: 36,,39,4. Trump,Republican,,52,43,9
PN1314,https://www.congress.gov/nomination/116th-congress/1314,116th Congress (2019-2020),John Charles Hinderaker,The Judiciary,"John Charles Hinderaker, of Arizona, ", United States District Judge , District of Arizona,12/2/2019,Judiciary,9/23/2020,Confirmed by the Senate by Yea-Nay Vote, 70 - 27, Record Vote Number: 191,,296,4. Trump,Republican,,70,27,43
PN1238,https://www.congress.gov/nomination/116th-congress/1238,116th Congress (2019-2020),Bernard Maurice Jones II,The Judiciary,"Bernard Maurice Jones II, of Oklahoma, ", United States District Judge , Western District of Oklahoma,10/17/2019,Judiciary,12/19/2019,Confirmed by the Senate by Yea-Nay Vote, 91 - 3, Record Vote Number: 421,,63,4. Trump,Republican,,91,3,88
PN1175,https://www.congress.gov/nomination/116th-congress/1175,116th Congress (2019-2020),Lawrence VanDyke,The Judiciary,"Lawrence VanDyke, of Nevada, ", United States Circuit Judge , Ninth Circuit,10/15/2019,Judiciary,12/11/2019,Confirmed by the Senate by Yea-Nay Vote, 51 - 44, Record Vote Number: 391,,57,4. Trump,Republican,,51,44,7
PN1174,https://www.congress.gov/nomination/116th-congress/1174,116th Congress (2019-2020),Scott H. Rash,The Judiciary,"Scott H. Rash, of Arizona, ", United States District Judge , District of Arizona,10/15/2019,Judiciary,5/19/2020,Confirmed by the Senate by Yea-Nay Vote, 74 - 20, Record Vote Number: 94,,217,4. Trump,Republican,,74,20,54
PN1173,https://www.congress.gov/nomination/116th-congress/1173,116th Congress (2019-2020),Sherri A. Lydon,The Judiciary,"Sherri A. Lydon, of South Carolina, ", United States District Judge , District of South Carolina,10/15/2019,Judiciary,12/5/2019,Confirmed by the Senate by Yea-Nay Vote, 76 - 13, Record Vote Number: 384,,51,4. Trump,Republican,,76,13,63
PN1172,https://www.congress.gov/nomination/116th-congress/1172,116th Congress (2019-2020),Robert J. Luck,The Judiciary,"Robert J. Luck, of Florida, ", United States Circuit Judge , Eleventh Circuit,10/15/2019,Judiciary,11/19/2019,Confirmed by the Senate by Yea-Nay Vote, 64 - 31, Record Vote Number: 358,,35,4. Trump,Republican,,64,31,33
PN1171,https://www.congress.gov/nomination/116th-congress/1171,116th Congress (2019-2020),Barbara Lagoa,The Judiciary,"Barbara Lagoa, of Florida, ", United States Circuit Judge , Eleventh Circuit,10/15/2019,Judiciary,11/20/2019,Confirmed by the Senate by Yea-Nay Vote, 80 - 15, Record Vote Number: 360,,36,4. Trump,Republican,,80,15,65
